,tweet_id,text,favorite_count,retweet_count,created_at
0,1060588577602433024,RT @redsteeze: Same thing that happened to the Kavanaugh gang rape investigation https://t.co/bowon6O8E2,0,22,Thu Nov 08 17:43:16 +0000 2018
1,1060588463798374401,"My thoughts and prayers are with the families who lost loved ones last night in Thousand Oaks, CA!!!! 🙏🏾🙏🏾🙏🏾💯 #LoveIsStrongerThanHate💪🏾",564,190,Thu Nov 08 17:42:49 +0000 2018
2,1060588065238839298,"RT @PodSaveAmerica: ""Look at Beto O'Rourke, Stacey Abrams and Andrew Gillum, and the movement and people they've inspired, and then you tel…",0,184,Thu Nov 08 17:41:14 +0000 2018
3,1060588005969149952,"RT @KSoltisAnderson: One more thing, and this is the real punch in the face for Republicans: Millennials are now into their mid-30s. And lo…",0,127,Thu Nov 08 17:41:00 +0000 2018
4,1060587972452466688,"RT @realDailyWire: SALE: @BenShapiro 2024 Facts &gt; Feelings’ shirt on sale this week only! 

&lt;Air horn&gt; =&gt; https://t.co/HkqCaeJSPf https://t…",0,3,Thu Nov 08 17:40:52 +0000 2018
5,1060587769469136897,RT @DKElections: Let's not lose sight of the fact that Democrats have flipped more House seats than they did in 2006 (and are on path to pi…,0,36,Thu Nov 08 17:40:03 +0000 2018
6,1060587741832867840,RT @creynoldsnc: This entire cycle @Schriock1 has said that we are going to deliver the majority with women.  I will confess that there wer…,0,17,Thu Nov 08 17:39:57 +0000 2018
7,1060587698946101249,"RT @JesseCharlesLee: Nixon at the peak of Watergate, right in front of our eyes. https://t.co/kVWDV7ekkO https://t.co/teKwbKpNef",0,32,Thu Nov 08 17:39:46 +0000 2018
8,1060587559930089472,"RT @chrislhayes: People aren’t objecting to firing Sessions! They’re objecting to making Whitaker acting AG, when you can easily fire Sessi…",0,3760,Thu Nov 08 17:39:13 +0000 2018
9,1060587270447673344,RT @neontaster: Literally one minute apart. https://t.co/XmHkwQbxM1,0,135,Thu Nov 08 17:38:04 +0000 2018
10,1060586587464101888,"We'll be covering the world chess championship match, which begins Friday. https://t.co/TMyJe0ndRP",14,1,Thu Nov 08 17:35:21 +0000 2018
11,1060586539925684224,"RT @ringer: Dear Vegas,
@ryenarussillo, @bykevinclark, and @robertmays are coming your way for a special #DualThreat x #NFLShow recording a…",0,3,Thu Nov 08 17:35:10 +0000 2018
12,1060586112949907456,"Collins and Menendez MASSIVELY underperformed the fundamentals. (There's still an outside chance that Collins loses, BTW). Hunter to a slightly lesser extent. Scandals had a BIG effect on these races. https://t.co/DqdEoGSJBG",268,57,Thu Nov 08 17:33:28 +0000 2018
13,1060585318905200641,A symbol of diverse cultures united across our City. #WearNewYork https://t.co/A7JEv0Q4XF,101,18,Thu Nov 08 17:30:19 +0000 2018
14,1060585298168635392,Cardi was in her bag on this one https://t.co/3M31vDbGcX,42,5,Thu Nov 08 17:30:14 +0000 2018
15,1060585289230442496,"RT @redsteeze: ""Actually kicking in the front doors of political pundits I don't like is good"" is not a standard I'm guessing Yglesias want…",0,125,Thu Nov 08 17:30:12 +0000 2018
16,1060585259773775872,RT @jpodhoretz: Sounds like Nelson's lawyer is going to argue Florida should incept votes from properly executed ballots that have blank ar…,0,42,Thu Nov 08 17:30:05 +0000 2018
17,1060585246301843456,#1train #2train and #3train have service change  #NYCsubway https://t.co/jh4U3Ctg8s,0,0,Thu Nov 08 17:30:02 +0000 2018
18,1060585152735133696,RT @ZekeJMiller: ATLANTA (AP) — Stacey Abrams' campaign says it will continue fighting in Georgia governor's race; won't accept Kemp victor…,0,141,Thu Nov 08 17:29:39 +0000 2018
19,1060585106891571200,VIDEO: Derrick Rose Has NSFW Message for Lakers After Drilling 3-Pointer Over Lonzo Ball https://t.co/6bo4OYKNbn,2,0,Thu Nov 08 17:29:28 +0000 2018
20,1060584766007922689,"DaBaby says he was shopping with his family in Walmart when he was approached by two men who pulled a gun on him. Shortly afterwards, a deadly shooting took place
https://t.co/SVRSx0llMB",27,4,Thu Nov 08 17:28:07 +0000 2018
21,1060584608998158336,"RT @melissakchan: As someone who has had my press credentials denied by authoritarian China, I never thought I'd see this crap happen in th…",0,22453,Thu Nov 08 17:27:30 +0000 2018
22,1060584491092205570,"Now that Sessions is actually leaving, the fate of Mueller’s probe looks a lot more uncertain. https://t.co/3fZdv0syUD",12,8,Thu Nov 08 17:27:02 +0000 2018
23,1060583508748439552,#HeadbandBron undefeated in LA 😂 https://t.co/hBqqmJJhjt,343,86,Thu Nov 08 17:23:07 +0000 2018
24,1060583491430100992,RT @brianschatz: The media got played. https://t.co/9nmMRNCqg3,0,708,Thu Nov 08 17:23:03 +0000 2018
25,1060583392813543424,"RT @oneunderscore__: 😘👌
https://t.co/81vKfECUAg",0,18,Thu Nov 08 17:22:40 +0000 2018
26,1060583027439534085,"Here are your nominees for this week's #Shaqtin! 😂

Vote for your favorite moment in the poll below. ⬇️",96,37,Thu Nov 08 17:21:13 +0000 2018
27,1060582798719762432,"Unveiled these a week ago.

More City Edition news coming today... https://t.co/PQzS3UIeUa",80,18,Thu Nov 08 17:20:18 +0000 2018
28,1060582040347783168,"RT @earlxsweat: WHO MADE THAT FUCKIN BEAT, U ASKED ?? @Kingsunnydey and the God Booliemane aka Darryl Johnson 😭😭😭⛽️⛽️⛽️",0,563,Thu Nov 08 17:17:17 +0000 2018
29,1060582027500703744,"RT @earlxsweat: YEEAAAAOEOOEOEOE TO SAY IM EXCITED TO B GIVING YALL MUSIC IS BIG UNDERSTATEMENT. THIS YEAR BEEN THE ROUGHEST OF MY LIFE, BU…",0,9781,Thu Nov 08 17:17:14 +0000 2018
30,1060581963415744513,"RT @noamscheiber: I agree with @NateSilver538 that an electoral-college strategy build around MI, WI, PA in 2020 is looking very viable aft…",0,51,Thu Nov 08 17:16:59 +0000 2018
31,1060581955929104384,"RT @Lilpeep: COWYS2 comes out tomorrow.  Some local stores will be carrying the pink cassette and limited 2LP vinyl version, as well as the…",0,993,Thu Nov 08 17:16:57 +0000 2018
32,1060581492898828288,Very rare https://t.co/aC0zNonUYG,45,6,Thu Nov 08 17:15:07 +0000 2018
33,1060581462146199553,RT @ShadyMadeMe6: @LiveLiteMarcel @MikeWiLLMadeIt @creedmovie When is the tracklist droppin?,0,1,Thu Nov 08 17:14:59 +0000 2018
34,1060580856572592128,RT @antall_en: Omfg @MikeWiLLMadeIt I love you bruh!!!! This is legendary af! https://t.co/grEhlc9LWd,0,3,Thu Nov 08 17:12:35 +0000 2018
35,1060580486827950080,RT @LiveLiteMarcel: @MikeWiLLMadeIt had a listening party for @creedmovie . Every song Slaps,0,3,Thu Nov 08 17:11:07 +0000 2018
36,1060580374961635328,Thank God for the day!,1819,921,Thu Nov 08 17:10:40 +0000 2018
37,1060580035390631936,It’s true that many House Republicans will have one more election to cling to their gerrymandered seats before many new Democratic governors and legislatures get to redraw the maps. https://t.co/vO0x4ihVKq,794,125,Thu Nov 08 17:09:19 +0000 2018
